Departamento,Dep,Municipio,Depmun,Superficie,Poblacion,Irural,Region,Tipo,Zona,denspobl
Risaralda,66,Mistrató,66456,564.7434802,17110,49,Región Eje Cafetero,Otro,Rural,30.29694117750702
Risaralda,66,Pueblo Rico,66572,613.76781319,16309,51,Región Eje Cafetero,Otro,Rural,26.571937546277507
Risaralda,66,Quinchía,66594,140.1300619,27235,32,Región Eje Cafetero,Otro,Urbano,194.3551557083841
Risaralda,66,Santa Rosa De Cabal,66682,543.49262961,78636,35,Región Eje Cafetero,Otro,Urbano,144.68641471077115
Risaralda,66,Santuario,66687,190.86402368,12506,40,Región Eje Cafetero,Otro,Urbano,65.52308684934458
Santander,68,Bucaramanga,68001,152.91568607,595635,11,Región Centro Oriente,Capital,Urbano,3895.18574129365
Santander,68,Aguada,68013,75.23124792,1858,48,Región Centro Oriente,Otro,Rural,24.69718436647196
Santander,68,Albania,68020,166.21696603,4242,51,Región Centro Oriente,Otro,Rural,25.520860483245578
Santander,68,Aratoca,68051,169.79155179,8368,45,Región Centro Oriente,Otro,Rural,49.283959724625355
Santander,68,Barbosa,68077,46.66488698,31940,27,Región Centro Oriente,Otro,Urbano,684.4546738897941
Santander,68,Barichara,68079,137.2758117,10674,44,Región Centro Oriente,Otro,Rural,77.75586877116241
Santander,68,Barrancabermeja,68081,1326.83830229,207494,36,Región Centro Oriente,Otro,Urbano,156.38228082644628
Santander,68,Betulia,68092,431.24870865,6003,55,Región Centro Oriente,Otro,Rural,13.92004168265699
Santander,68,Bolívar,68101,1010.1258607,11073,56,Región Centro Oriente,Otro,Rural,10.962000311848863
Santander,68,Cabrera,68121,65.57430937,1983,49,Región Centro Oriente,Otro,Rural,30.240501486809638
Santander,68,California,68132,45.01345975,2186,47,Región Centro Oriente,Otro,Rural,48.56325223923717
Santander,68,Capitanejo,68147,85.28406397,5479,42,Región Centro Oriente,Otro,Rural,64.24412422380955
Santander,68,Carcasí,68152,258.94615159,4263,53,Región Centro Oriente,Otro,Rural,16.462882239508165
Santander,68,Cepitá,68160,107.96710895,2018,52,Región Centro Oriente,Otro,Rural,18.69087743133461
Santander,68,Cerrito,68162,421.08144251,6838,55,Región Centro Oriente,Otro,Rural,16.23913882131628
Santander,68,Charalá,68167,419.23135063,12256,50,Región Centro Oriente,Otro,Rural,29.234454869804686
Santander,68,Charta,68169,126.70625039,2883,50,Región Centro Oriente,Otro,Rural,22.753415803294377
Santander,68,Chimá,68176,173.21902206,2865,53,Región Centro Oriente,Otro,Rural,16.53975392499107
Santander,68,Chipatá,68179,94.93681903,5084,45,Región Centro Oriente,Otro,Rural,53.55140452297499
Santander,68,Cimitarra,68190,3174.28853876,33750,58,Región Centro Oriente,Otro,Rural,10.632303770716463
Santander,68,Concepción,68207,337.11991806,5738,54,Región Centro Oriente,Otro,Rural,17.020649604508865
Santander,68,Confines,68209,71.42170043,3233,48,Región Centro Oriente,Otro,Rural,45.26635435078509
Santander,68,Contratación,68211,137.17207648,3683,50,Región Centro Oriente,Otro,Rural,26.849487844102075
Santander,68,Coromoro,68217,577.49574601,5009,56,Región Centro Oriente,Otro,Rural,8.673656965627698
Santander,68,Curití,68229,244.22273703,13028,46,Región Centro Oriente,Otro,Rural,53.34474651473445
Santander,68,El Carmen De Chucurí,68235,924.0326235,21415,52,Región Centro Oriente,Otro,Rural,23.175588670111495
Santander,68,El Guacamayo,68245,92.96763011,2119,52,Región Centro Oriente,Otro,Rural,22.79287960220975
Santander,68,El Peñón,68250,398.21774664,5405,56,Región Centro Oriente,Otro,Rural,13.572976206121401
Santander,68,El Playón,68255,454.98192085,13882,49,Región Centro Oriente,Otro,Rural,30.511102450105188
Santander,68,Encino,68264,400.43269142,2567,61,Región Centro Oriente,Otro,Rural,6.410565508268061
Santander,68,Enciso,68266,74.81603233,3444,45,Región Centro Oriente,Otro,Rural,46.03291423967978
Santander,68,Florián,68271,176.59965513,5569,49,Región Centro Oriente,Otro,Rural,31.5346029181116
Santander,68,Floridablanca,68276,100.32773906,300730,14,Región Centro Oriente,Otro,Urbano,2997.4761000061153
Santander,68,Galán,68296,201.73157557,2883,54,Región Centro Oriente,Otro,Rural,14.291267947786446
Santander,68,Gambita,68298,608.23306615,4008,59,Región Centro Oriente,Otro,Rural,6.589579263373299
Santander,68,Girón,68307,493.0298875,166843,31,Región Centro Oriente,Otro,Urbano,338.40341981296217
